"","T50","M50","rate","range","FC","cv.crit","degF","spar","pen.crit","lambda","anova.p","kw.p","SidakP.t0.5","SidakP.t1","SidakP.t3","SidakP.t10","anova.FDR","kw.FDR","scaled_T50","tp.designation"
"Caprylic acid",3.13905269094004,1.07449910542202,0.313905269094004,0.00377366233309773,0.00506677902512184,16.3098337379261,2.00000054933568,1.49999996069905,393.765969319293,4095.99732206768,0.871746018548079,0.867942790908127,0.882799350686365,0.982538845875315,0.999999903948905,0.999959952037937,1,1,0.18214607573475,NA
"CAR(10:0)",2.94166179028914,0.820303597620244,0.294166179028914,0.51995946408174,0.947076895716809,12.272329405005,2.00000081766321,1.4999999583234,296.289076999376,4095.99716019348,0.0192870437641996,0.0351694661641537,0.173622910536504,0.182265752680319,0.0606636562841322,0.0045458961089405,1,1,0.352745416784988,"t10"
"CAR(12:0)",2.77340861436124,0.77386680673921,0.277340861436124,0.150515221564242,-0.0340218427651598,15.9624781937402,2.40262903329706,0.667109316004258,373.536470213625,0.00393512064895379,0.666520169977885,0.572186843054434,0.804389259661334,0.959831584334217,0.933004835884585,0.994142999162526,1,1,0.498161851120406,NA
"CAR(14:0)",2.89273917627722,0.81029966688363,0.289273917627722,0.238911198110023,0.320338537022105,13.7934937519798,2.00000037290902,1.49999994881436,319.29382732598,4095.99651225589,0.183949461503767,0.251312731702065,0.98940377076667,0.954530051906046,0.128798012339413,0.371491236454746,1,1,0.395027840571332,NA
"CAR(16:0)",3.64142973468774,1.1859731581435,0.364142973468774,0.714924098527026,0.897551973952381,9.25780888074009,2.00000043513894,1.49999989034893,223.509949782206,4095.99252847713,0.00166325900255061,0.012123836703321,0.999998592851889,0.931823301086375,0.0565732282634679,0.00229294364356862,0.272774476418301,1,-0.252044114084101,"t10"
"CAR(18:0)",3.50160761532618,1.28085561783084,0.350160761532618,0.84160444839255,0.984442845953473,9.37878647990771,2.00000050527566,1.49999995418519,226.430693357009,4095.9968782191,0.00303367599563709,0.0173439403791224,0.927873389857971,0.470187650742853,0.0629339781466385,0.00112824223637885,0.479320807310661,1,-0.131199833275449,"t10"
"CAR(18:1)",4.06192198960967,1.48468548844521,0.406192198960967,0.740876858557797,0.735446405303569,11.4592640752319,2.22222900900756,0.696132743330937,271.950222579923,0.00637740774730325,0.00963185605903077,0.0156636145256951,0.506528095961793,0.838906702087815,0.881308980910796,0.108694969670081,1,1,-0.615463609966955,NA
"CAR(20:4)",3.59368903878986,1.42129770482641,0.359368903878986,0.660031949143787,0.682413906886856,10.0411014539448,3.73233973174202,0.469834030610277,211.192813924154,0.0001478084874486,0.024684350104923,0.0401547376603775,0.999944899930096,0.963293254045172,0.240626610938145,0.095816497432557,1,1,-0.210783188506471,NA
"CAR(3:0)",4.00512339413642,1.12420447718266,0.400512339413642,0.829003603804594,1.11643121463098,7.72150318896531,2.32008376715246,0.674052961531008,181.857421592172,0.00441696488025569,0.000258932978578866,0.0020818902363505,0.390920836061111,0.867660784111822,0.0461248370479247,0.0000771155553109482,0.046349003165617,0.391395364433893,-0.566374199419845,"t3"
"CAR(4:0)",6.10457698437256,1.13700313905397,0.610457698437256,1.1210735995616,1.558137243506,4.55719924283555,6.34194292830315,0.30803634108165,76.3447140544947,0.0000100174316101135,0.000120324601224301,0.00197688462710879,0.254616357582658,0.303743192083054,0.0237900894885344,0.000019424940704472,0.0221397266252714,0.373631194523561,-2.38087222277756,"t3"
