"","T50","M50","rate","range","FC","GCV","degF","spar","pen.crit","lambda","scaled_T50"
"Dihydroxyacetone phosphate (DHAP)",10.2829241807544,1.53432418176428,1.02829241807544,1.51539565486099,1.56132832752273,0.528941392187229,24.6290543559903,-0.406288527923375,0.214660937581385,6.91766127538443e-11,-1.54734122221669
"Dihydrobiopterin",3.02806550819007,1.07925073945257,0.302806550819007,0.176874580440172,0.236969525084236,14.0063842571306,2.0000004249994,1.49999997037038,352.091510413867,4095.9979810638,0.0320291132295766
"Dihydrouracil",3.11561344911217,0.931880357852949,0.311561344911217,1.38615862631047,2.766522859944,0.439043356961562,16.1062363348211,-0.108261411175606,1.38911618398675,9.84286962821371e-09,0.0129700760984104
"Dihydroxyphenylalanine (DOPA)",2.98879152532843,0.911533571067947,0.298879152532843,0.182034802861731,0.181418580740986,15.8766255424133,2.00000049145216,1.49999996568725,399.10550341651,4095.99766195965,0.0405789921846375
"Dimethylarginine",3.47931809498665,1.19985960709776,0.347931809498665,0.24553551858727,0.296265378363449,14.6757006126881,2.87417830511511,0.583459404134218,330.888260415483,0.000978612749669632,-0.066207803786478
"Dopamine (3-Hydroxytyramine HCl)",0.198313488688281,0.684709058205307,0.0198313488688281,0.348819316175561,-0.137791526697964,13.7502390022258,6.0495877980534,0.311079250758385,249.74294537523,1.05375720288069e-05,0.648061292212132
"Dulcitol",4.33759370075655,1.04112100429713,0.433759370075655,0.653997250197238,0.937951150767922,7.0130030284931,2.50776833783724,0.640447109549732,176.686253259642,0.00252540524852639,-0.253052936485806
"Erythrose 4-phosphate",3.94374093091744,1.0748374241137,0.394374093091744,1.04772121751947,1.53683394598184,5.2512447073563,8.49944364475962,0.224271551690186,80.9171164857955,2.48644722451178e-06,-0.167311861532877
"Erythrose",3.590774791877,1.17362746474129,0.3590774791877,0.546823703044566,0.684761628668525,8.73226186254853,2.00000044095121,1.4999999634361,228.203102820332,4095.99750856799,-0.0904717362351062
"FAD",3.49998733101228,1.03938506395695,0.349998733101228,0.12721271019522,0.176795657601469,13.7987917363689,2.00000047477103,1.49999995819131,333.142245468555,4095.99715119248,-0.070707461148332
"Fructose 6-phosphate",4.32899689841538,1.25010072505966,0.432899689841538,1.5389787321587,2.07111985284727,2.44820812882301,4.24511118738203,0.430605491180053,51.7335519844725,7.69633855179398e-05,-0.251181427306903
"Fructose",2.43900382274784,1.06203056697184,0.243900382274784,0.732894300695658,1.03818308906162,3.153199648199,3.36108561443012,0.54151363778237,71.4747649504603,0.000487039804998452,0.160266835523705
"Fumarate",2.50286637051824,1.07299203861036,0.250286637051824,-0.526031288038469,-0.721976535178718,12.2656846159725,2.08671811773837,0.782746417980374,318.560806021101,0.0269403803889407,0.146364068006533
"Gamma-aminobutyric acid (GABA)",2.60313679806208,1.18842657378855,0.260313679806208,0.55681996896484,-0.0592440564758648,14.4908953682636,2.00000054933912,1.49999995917619,364.271113572474,4095.99721830128,0.124535367278821
"Galacturonic acid",3.8952441906707,1.01212320352779,0.38952441906707,0.210243811305591,0.30076920895251,10.3321685289045,2.00000047801176,1.49999995823107,259.729330719686,4095.99715390166,-0.156754204055524
"gamma-Glutamylcysteine",1.30815634651928,1.24314976036012,0.130815634651928,1.24160457468556,1.58257254036114,8.75645191489735,6.13667279207061,0.322709767574561,157.837078173795,1.27869740104445e-05,0.406450398633468
"GDP",1.20066175348506,1.0245291576732,0.120066175348506,0.64403140802057,0.93866453626726,-208.29345897755,29.9999981523022,-1.49982321306311,-2.37037056649569e-11,8.69916355639104e-19,0.429851787843314
